nom,région,grande région,2018caq,2018pcq,2018plq,2018pq,2018qs,2018autres
Abitibi-Est,Abitibi-Témiscamingue,reste du Québec,42.72,0,18.75,19.48,15.66,3.39
Abitibi-Ouest,Abitibi-Témiscamingue,reste du Québec,34.12,1.1,11.31,33.26,16.59,3.62
Acadie,Montréal,grand Montréal,16.51,2.18,53.8,9,13.75,4.76
Anjou–Louis-Riel,Montréal,grand Montréal,28.91,0,39.06,14.7,14.53,2.8
Argenteuil,Laurentides,reste du Québec,38.88,1.55,17.41,21.14,12.17,8.85
Arthabaska,Centre-du-Québec,reste du Québec,61.84,2.33,11.35,9.4,12.58,2.5
Beauce-Nord,Chaudière-Appalaches,reste du Québec,66.37,4.68,15.66,5.12,7.06,1.11
Beauce-Sud,Chaudière-Appalaches,reste du Québec,62.68,2.48,20.83,4.11,5.79,4.11
Beauharnois,Montérégie,reste du Québec,46.7,0.9,12.71,21.86,15.05,2.78
Bellechasse,Chaudière-Appalaches,reste du Québec,53.85,3.22,27.16,7.26,7.5,1.01
Berthier,Lanaudière,reste du Québec,45.13,0,7.63,28.92,15.43,2.89
Bertrand,Lanaudière,reste du Québec,41.55,0.78,13.4,23.41,18.12,2.74
Blainville,Laurentides,grand Montréal,48.27,0,19.07,13.55,15.12,3.99
Bonaventure,Gaspésie–Îles-de-la-Madeleine,reste du Québec,16,0,25.53,38.46,15,5.01
Borduas,Montérégie,grand Montréal,47.78,0.66,11.48,21.4,15.65,3.03
Bourassa-Sauvé,Montréal,grand Montréal,23.48,1.46,46.16,10.64,13.98,4.28
Brome-Missisquoi,Estrie,reste du Québec,44.38,0,24.2,10.72,17.28,3.42
Camille-Laurin,Montréal,grand Montréal,27.57,0,18.88,26.01,24.44,3.1
Chambly,Montérégie,grand Montréal,50.26,0.82,12.2,17.42,16.39,2.91
Champlain,Mauricie,reste du Québec,51.86,1.8,18.66,12.08,12.96,2.64
Chapleau,Outaouais,reste du Québec,40.42,1.54,32.57,9.05,15.86,0.56
Charlesbourg,Capitale-Nationale,région de Québec,48.13,3.68,22.44,11.72,13.52,0.51
Charlevoix–Côte-de-Beaupré,Capitale-Nationale,région de Québec,45.37,0,22.66,17.31,12.87,1.79
Châteauguay,Montérégie,grand Montréal,37.06,1.38,33.67,12.26,12.81,2.82
Chauveau,Capitale-Nationale,région de Québec,47.06,8.61,22.47,9.2,10.35,2.31
Chicoutimi,Saguenay–Lac-St-Jean,reste du Québec,39.26,1.38,19.74,24.96,12.88,1.78
Chomedey,Laval,grand Montréal,26.41,3.57,52.68,7.58,7.07,2.69
Chutes-de-la-Chaudière,Chaudière-Appalaches,région de Québec,59.51,4.28,13.94,9.36,11.43,1.48
Côte-du-Sud,Chaudière-Appalaches,reste du Québec,53.64,1.75,21.99,10.11,10.85,1.66
D'Arcy-McGee,Montréal,grand Montréal,6.4,4.49,74.32,2.56,7.25,4.98
Deux-Montagnes,Laurentides,grand Montréal,47.44,1.09,13.38,19.12,14.53,4.44
Drummond–Bois-Francs,Centre-du-Québec,reste du Québec,56.3,2.11,13.02,12.54,15.01,1.02
Dubuc,Saguenay–Lac-St-Jean,reste du Québec,40.23,2.46,22.37,21.16,12.08,1.7
Duplessis,Côte-Nord,reste du Québec,33.7,1.68,17.92,34.32,12.38,0
Fabre,Laval,grand Montréal,32.56,2.13,37.52,13.5,10.77,3.52
Gaspé,Gaspésie–Îles-de-la-Madeleine,reste du Québec,19.6,0,33.18,33.41,13.81,0
Gatineau,Outaouais,reste du Québec,41.74,1.99,30.49,9.01,12.93,3.84
Gouin,Montréal,grand Montréal,9.9,0,11.46,14.88,59.14,4.62
Granby,Estrie,reste du Québec,62.38,0.99,10.73,9.65,14.03,2.22
Groulx,Laurentides,grand Montréal,40.61,1.01,20.26,15.8,17.23,5.09
Hochelaga-Maisonneuve,Montréal,grand Montréal,12.89,0.61,10.34,23.59,50.05,2.52
Hull,Outaouais,reste du Québec,26.44,1.46,33.76,13.6,18.5,6.24
Huntingdon,Montérégie,reste du Québec,37.69,1.37,35.23,11.03,12.72,1.96
Iberville,Montérégie,reste du Québec,47.62,1.75,12.3,17.55,17.32,3.46
Îles-de-la-Madeleine,Gaspésie–Îles-de-la-Madeleine,reste du Québec,9.34,0,38.46,38.65,13.55,0
Jacques-Cartier,Montréal,grand Montréal,9.32,2.59,71.81,2.77,4.39,9.12
Jean-Lesage,Capitale-Nationale,région de Québec,32.35,1.75,17.92,9.32,34.7,3.96
Jeanne-Mance–Viger,Montréal,grand Montréal,16.18,1.42,66.32,5.55,8.15,2.38
Jean-Talon,Capitale-Nationale,région de Québec,28.57,1.82,32.58,14.46,19.18,3.39
Johnson,Montérégie,reste du Québec,52.96,1.6,11.05,13.16,17.87,3.36
Joliette,Lanaudière,reste du Québec,34.65,0,6.85,46.23,10.15,2.12
Jonquière,Saguenay–Lac-St-Jean,reste du Québec,32.47,1.09,9.84,48.35,7.28,0.97
Labelle,Laurentides,reste du Québec,36.5,0.82,10.91,34.64,15.34,1.79
Lac-Saint-Jean,Saguenay–Lac-St-Jean,reste du Québec,39.46,0.94,12.53,31.53,14.85,0.69
LaFontaine,Montréal,grand Montréal,21.91,1.76,58.8,8.35,8.85,0.33
La Peltrie,Capitale-Nationale,région de Québec,57.73,4.75,16.61,7.53,9.87,3.51
La Pinière,Montérégie,grand Montréal,28.83,1.32,47.07,8.88,10.04,3.86
Laporte,Montérégie,grand Montréal,28.56,1.35,35.61,13.22,17.1,4.16
La Prairie,Montérégie,grand Montréal,43.14,1.13,23.99,15.73,12.97,3.04
L'Assomption,Lanaudière,grand Montréal,57.03,0.55,8,14.46,16.96,3
Laurier-Dorion,Montréal,grand Montréal,8.85,1.18,29.66,7.79,47.28,5.24
Laval-des-Rapides,Laval,grand Montréal,30.73,1.07,31.54,15.4,16.96,4.3
Laviolette–Saint-Maurice,Mauricie,reste du Québec,45.41,1.78,20.78,15.67,15.12,1.24
Les Plaines,Laurentides,grand Montréal,51.22,1.09,8.01,23.71,13.85,2.12
Lévis,Chaudière-Appalaches,région de Québec,57.29,2.75,14.46,10.25,11.74,3.51
Lotbinière-Frontenac,Chaudière-Appalaches,reste du Québec,53.78,3.72,20.45,9.49,9.49,3.07
Louis-Hébert,Capitale-Nationale,région de Québec,44.39,2.31,26.62,12.43,11.06,3.19
Marguerite-Bourgeoys,Montréal,grand Montréal,23.48,0,53.39,8.45,10.76,3.92
Marie-Victorin,Montérégie,grand Montréal,28.39,0,15.21,30.82,21.67,3.91
Marquette,Montréal,grand Montréal,28.34,2.18,42.99,7.78,11.47,7.24
Maskinongé,Mauricie,reste du Québec,42.42,1.49,27.9,12.81,12.1,3.28
Masson,Lanaudière,grand Montréal,53.05,0.79,10.89,19.71,13.44,2.12
Matane-Matapédia,Gaspésie–Îles-de-la-Madeleine,reste du Québec,11.36,0.53,11.27,69.46,5.78,1.6
Maurice-Richard,Montréal,grand Montréal,19.75,0,29.52,19.13,27.86,3.74
Mégantic,Estrie,reste du Québec,47.53,0,19.84,12.55,15.96,4.12
Mercier,Montréal,grand Montréal,8.04,0.42,17.71,12.13,54.5,7.2
Mille-Îles,Laval,grand Montréal,31.67,0,35.82,15.07,12.77,4.67
Mirabel,Laurentides,reste du Québec,54.63,0.75,8.92,18.11,14.96,2.63
Montarville,Montérégie,grand Montréal,41.11,0,24.37,16.14,15.9,2.48
Montmorency,Laval,grand Montréal,50.87,3.79,18.6,10.61,13.14,2.99
Mont-Royal–Outremont,Montréal,grand Montréal,13.51,1.63,51.34,11.76,15.44,6.32
Nelligan,Montréal,grand Montréal,17.17,3.01,65.12,4.59,5.52,4.59
Nicolet-Bécancour,Centre-du-Québec,reste du Québec,55.29,2.05,12.57,15.71,12.34,2.04
Notre-Dame-de-Grâce,Montréal,grand Montréal,8.01,1.51,62.98,5.46,11.84,10.2
Orford,Estrie,reste du Québec,40.05,1.14,24.95,12.38,17.87,3.61
Papineau,Outaouais,reste du Québec,46.93,1.28,23.11,10.58,15.02,3.08
Pointe-aux-Trembles,Montréal,grand Montréal,38.96,0,12.56,32.2,14.86,1.42
Pontiac,Outaouais,reste du Québec,20.41,3.09,53.89,5.51,10.74,6.36
Portneuf,Capitale-Nationale,région de Québec,54.31,5.17,18.88,9.26,11.42,0.96
Prévost,Laurentides,reste du Québec,47.03,0.96,12.85,24.47,13.96,0.73
René-Lévesque,Côte-Nord,reste du Québec,33.71,1.07,12.79,42.22,10.21,0
Repentigny,Lanaudière,grand Montréal,49.74,0.82,13.67,18.79,14.87,2.11
Richelieu,Montérégie,reste du Québec,49.79,1.19,11.28,23.05,13.38,1.31
Richmond,Estrie,reste du Québec,39.64,1.4,19.81,17.84,18.9,2.41
Rimouski,Bas-St-Laurent,reste du Québec,24.9,0,12.33,43.92,17.43,1.42
Rivière-du-Loup–Témiscouata,Bas-St-Laurent,reste du Québec,39.18,1.09,33.46,15.25,11.03,0
Robert-Baldwin,Montréal,grand Montréal,11.32,3.03,73.85,3.27,4.34,4.19
Roberval,Saguenay–Lac-St-Jean,reste du Québec,24.16,1.72,42.46,19.02,10.7,1.94
Rosemont,Montréal,grand Montréal,15.56,0.59,16.77,28.43,35.25,3.4
Rousseau,Lanaudière,reste du Québec,53.24,1,5.22,26.35,13,1.19
Rouyn-Noranda–Témiscamingue,Abitibi-Témiscamingue,reste du Québec,30.33,0.87,16.39,18.31,32.08,2.02
Saint-François,Estrie,reste du Québec,34.73,0,23.3,16.19,22.68,3.1
Saint-Henri–Sainte-Anne,Montréal,grand Montréal,18.68,1.22,38.06,11.47,23.83,6.74
